,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
affection,0.6699692101475904,0.3640697656254323,0.484059903406942,0.6230697000859063,-0.6816530837661409
body,-0.4283972707460704,-0.1870677510754041,-0.4390251587474143,-0.4726194440724647,0.5829830398069189
children,0.20958769299172494,-0.0837270127193234,0.2989016169881559,0.3241144452854134,-0.45174317742304393
cold,-0.3736127705658568,-0.10344342987053626,-0.36800681978233685,-0.3979315007670418,0.5020449978479157
communication,0.31574926406450443,0.5836640701030706,0.37518112073016446,0.36337404343035606,-0.4392491523600098
family,0.21407605045974437,-0.09339187238321664,0.2441462535007618,0.2466451487059208,-0.3196782115016019
friends,0.5475362419123081,0.17495227730746943,0.47260213858582195,0.631635178852317,-0.644411722050225
giving,-0.18621587502013068,-0.2550155600154391,-0.082374335650546,-0.09831098912733349,0.1528368603535998
hearing,-0.04870570028449723,0.19913842715398436,0.08814065832666942,0.2536542562591414,-0.1087718575934223
listen,-0.0373942297804499,0.2422255091069042,0.1755892565645765,-0.005331630765520334,-0.0446114894778513
love,0.43158851002581783,0.21567874216583416,0.297997126536982,0.41561176591251525,-0.4439809098715284
movement,-0.1726180548253867,-0.3375961922014529,-0.03128234515003953,-0.09714585555747995,0.07597011308731824
music,-0.22790223626929512,-0.20839194440251535,-0.12087219790467907,-0.11818039667599621,0.25169935301416063
negative_emotion,-0.13450778153437049,0.0948848643442595,-0.32868049519548825,-0.23434494062556582,0.26973502424431356
nervousness,-0.5472059592223872,-0.1865713642715379,-0.5612739869937433,-0.6098346103342739,0.6724881329376187
night,-0.038266235919909464,-0.2184629887653976,-0.12280247840541614,-0.17896390736760512,0.21793553835930202
optimism,0.640202401542988,0.32608771288838523,0.45036196879721196,0.6221602998117408,-0.617193501456845
pain,-0.545044259247519,-0.15860549328975254,-0.5743205174527534,-0.6783971656675569,0.7048560733391337
party,0.13254863544463433,-0.16197838978689116,0.1933882061190514,0.30965906976813873,-0.21669678415938243
positive_emotion,0.6357091502291898,0.2680130309156103,0.43960733830990395,0.6290436764901732,-0.619892707760904
shame,-0.5838474051789339,-0.2046976191417402,-0.6108222356789882,-0.70482575199321,0.7632209220020137
speaking,0.14519124213789592,0.621809049443887,0.324062707551365,0.315166009215943,-0.37688932896843014
vacation,0.2403180768465384,-0.12076329099451116,0.15415016136387122,0.15989530012313558,-0.11599211095371326
violence,-0.5332850950154353,-0.29076626843398695,-0.5798044437348245,-0.672345871832144,0.7146994133565151
youth,0.19811301849675172,-0.20540436039010096,0.25817625932665295,0.2996484531484291,-0.3567445059660873
